USER_ID          STATUS          LEVEL          TIME_TAKEN
-------------------------------------------------------------

  a          Incomplete          Easy          17.590000s 

  a          Incomplete          Easy          35.210000s 

  a          Incomplete          Easy          4.033000s 

  a          Incomplete          Easy          3.397000s 

  a          Incomplete          Easy          4.062000s 

  a          Incomplete          Easy          2.173000s 

  a          Incomplete          Easy          24.558000s 

  a          Incomplete          Easy          9.392000s 

  a          Complete          Easy          118.375000s 

  a          Incomplete          Medium          7.168000s 

  a          Incomplete          Easy          9.498000s 

  a          Incomplete          Easy          10.495000s 

  abc          Incomplete          Easy          4.327000s 
